uid,body,connections,reward,env_name,generated_by
ce48f2a9-abde-4dd4-bc03-96b243da8896,"[array([4, 2, 0, 0, 4], dtype=int64) array([0, 3, 1, 4, 4], dtype=int64)
 array([2, 1, 4, 0, 0], dtype=int64) array([3, 3, 3, 4, 0], dtype=int64)
 array([0, 0, 0, 2, 4], dtype=int64)]","[array([ 0,  1,  4,  6,  6,  7,  7,  8, 10, 10, 11, 11, 12, 15, 16, 17, 18,
        23], dtype=int64)
 array([ 1,  6,  9,  7, 11,  8, 12,  9, 11, 15, 12, 16, 17, 16, 17, 18, 23,
        24], dtype=int64)                                                  ]",0.307258,BidirectionalWalker-v0,Genetic Algorithm
fbd06ad2-3f5c-4056-89e7-72343aa1b7c8,"[array([4, 4, 1, 0, 0], dtype=int64) array([0, 3, 4, 3, 2], dtype=int64)
 array([0, 1, 3, 0, 2], dtype=int64) array([3, 1, 1, 0, 0], dtype=int64)
 array([3, 0, 2, 0, 0], dtype=int64)]","[array([ 0,  1,  1,  2,  6,  6,  7,  7,  8,  9, 11, 11, 12, 15, 15, 16, 17],
       dtype=int64)
 array([ 1,  2,  6,  7,  7, 11,  8, 12,  9, 14, 12, 16, 17, 16, 20, 17, 22],
       dtype=int64)                                                         ]",0.249041,Flipper-v0,Genetic Algorithm
4df4c41c-a37e-46bb-a37c-264e1fe232ae,"[array([0, 0, 1, 1, 0], dtype=int64) array([1, 2, 3, 2, 3], dtype=int64)
 array([1, 0, 2, 0, 1], dtype=int64) array([0, 0, 3, 0, 2], dtype=int64)
 array([0, 0, 2, 2, 1], dtype=int64)]","[array([ 2,  2,  3,  5,  5,  6,  7,  7,  8,  9, 12, 14, 17, 19, 22, 23],
       dtype=int64)
 array([ 3,  7,  8,  6, 10,  7,  8, 12,  9, 14, 17, 19, 22, 24, 23, 24],
       dtype=int64)                                                     ]",0.546067,GapJumper-v0,Genetic Algorithm
847d5226-100b-4cd4-840f-54329551cfc7,"[array([0, 1, 3, 0, 0], dtype=int64) array([1, 4, 1, 2, 4], dtype=int64)
 array([2, 1, 2, 3, 0], dtype=int64) array([0, 0, 3, 1, 1], dtype=int64)
 array([0, 0, 0, 2, 1], dtype=int64)]","[array([ 1,  1,  2,  5,  5,  6,  6,  7,  7,  8,  8, 10, 11, 12, 12, 13, 17,
        18, 18, 19, 23], dtype=int64)
 array([ 2,  6,  7,  6, 10,  7, 11,  8, 12,  9, 13, 11, 12, 13, 17, 18, 18,
        19, 23, 24, 24], dtype=int64)                                      ]",-0.755796,Jumper-v0,Genetic Algorithm
7bdfcb93-cffc-400e-a893-4f049e1b8876,"[array([0, 0, 0, 0, 2], dtype=int64) array([0, 3, 3, 3, 4], dtype=int64)
 array([0, 0, 4, 3, 0], dtype=int64) array([4, 4, 3, 2, 2], dtype=int64)
 array([4, 0, 4, 0, 4], dtype=int64)]","[array([ 4,  6,  7,  7,  8,  8, 12, 12, 13, 15, 15, 16, 17, 17, 18, 19],
       dtype=int64)
 array([ 9,  7,  8, 12,  9, 13, 13, 17, 18, 16, 20, 17, 18, 22, 19, 24],
       dtype=int64)                                                     ]",2.78143,DownStepper-v0,Genetic Algorithm
5b93e9f5-3cc3-469f-a024-8da28a8a7830,"[array([1, 4, 1, 4, 2], dtype=int64) array([0, 0, 0, 2, 2], dtype=int64)
 array([1, 4, 1, 2, 4], dtype=int64) array([2, 2, 2, 0, 0], dtype=int64)
 array([0, 0, 2, 2, 2], dtype=int64)]","[array([ 0,  1,  2,  3,  3,  4,  8,  8,  9, 10, 10, 11, 11, 12, 12, 13, 15,
        16, 17, 22, 23], dtype=int64)
 array([ 1,  2,  3,  4,  8,  9,  9, 13, 14, 11, 15, 12, 16, 13, 17, 14, 16,
        17, 22, 23, 24], dtype=int64)                                      ]",1.133126,ObstacleTraverser-v0,Genetic Algorithm
45ff806e-e3f7-4aa9-bb73-622d529ef40b,"[array([3, 0, 0, 0, 2], dtype=int64) array([3, 3, 4, 0, 2], dtype=int64)
 array([0, 0, 1, 0, 4], dtype=int64) array([0, 0, 1, 2, 4], dtype=int64)
 array([0, 0, 0, 0, 0], dtype=int64)]","[array([ 0,  4,  5,  6,  7,  9, 12, 14, 17, 18], dtype=int64)
 array([ 5,  9,  6,  7, 12, 14, 17, 19, 18, 19], dtype=int64)]",0.097936,Balancer-v1,Genetic Algorithm
96772f3c-7b92-4929-bcfc-ec100f38f906,"[array([4, 1, 0, 2, 1], dtype=int64) array([1, 2, 0, 0, 1], dtype=int64)
 array([3, 4, 1, 4, 4], dtype=int64) array([1, 4, 0, 0, 3], dtype=int64)
 array([0, 1, 3, 2, 0], dtype=int64)]","[array([ 0,  0,  1,  3,  4,  5,  5,  6,  9, 10, 10, 11, 11, 12, 13, 14, 15,
        16, 21, 22], dtype=int64)
 array([ 1,  5,  6,  4,  9,  6, 10, 11, 14, 11, 15, 12, 16, 13, 14, 19, 16,
        21, 22, 23], dtype=int64)                                          ]",-0.657575,Balancer-v0,Genetic Algorithm
e35789c3-df82-4aed-a2fd-933bb920db94,"[array([0, 4, 0, 0, 0], dtype=int64) array([4, 1, 1, 1, 0], dtype=int64)
 array([0, 0, 3, 0, 0], dtype=int64) array([0, 1, 2, 2, 0], dtype=int64)
 array([0, 0, 1, 1, 0], dtype=int64)]","[array([ 1,  5,  6,  7,  7, 12, 16, 17, 17, 18, 22], dtype=int64)
 array([ 6,  6,  7,  8, 12, 17, 17, 18, 22, 23, 23], dtype=int64)]",-0.071419,Carrier-v1,Genetic Algorithm
d7389589-66e8-4d8d-9945-0f8fd06a8dcf,"[array([0, 1, 4, 4, 0], dtype=int64) array([3, 4, 1, 4, 0], dtype=int64)
 array([1, 4, 4, 4, 1], dtype=int64) array([2, 2, 0, 4, 0], dtype=int64)
 array([0, 2, 0, 0, 0], dtype=int64)]","[array([ 1,  1,  2,  2,  3,  5,  5,  6,  6,  7,  7,  8, 10, 10, 11, 11, 12,
        13, 13, 15, 16], dtype=int64)
 array([ 2,  6,  3,  7,  8,  6, 10,  7, 11,  8, 12, 13, 11, 15, 12, 16, 13,
        14, 18, 16, 21], dtype=int64)                                      ]",0.104236,Climber-v1,Genetic Algorithm
0ef7518b-7083-4b38-9bdb-c5ee868c703f,"[array([0, 3, 4, 0, 1], dtype=int64) array([3, 1, 3, 0, 4], dtype=int64)
 array([2, 4, 3, 1, 1], dtype=int64) array([0, 0, 0, 1, 4], dtype=int64)
 array([0, 0, 2, 1, 2], dtype=int64)]","[array([ 1,  1,  2,  4,  5,  5,  6,  6,  7,  9, 10, 11, 12, 13, 13, 14, 18,
        18, 19, 22, 23], dtype=int64)
 array([ 2,  6,  7,  9,  6, 10,  7, 11, 12, 14, 11, 12, 13, 14, 18, 19, 19,
        23, 24, 23, 24], dtype=int64)                                      ]",0.060659,Climber-v2,Genetic Algorithm
f9458d57-1a43-4ae4-9a84-6d58d88ffb2e,"[array([0, 1, 0, 0, 2], dtype=int64) array([2, 3, 3, 2, 3], dtype=int64)
 array([0, 3, 2, 4, 3], dtype=int64) array([1, 3, 3, 0, 4], dtype=int64)
 array([1, 0, 3, 4, 1], dtype=int64)]","[array([ 1,  4,  5,  6,  6,  7,  7,  8,  8,  9, 11, 11, 12, 12, 13, 14, 15,
        15, 16, 17, 19, 22, 23], dtype=int64)
 array([ 6,  9,  6,  7, 11,  8, 12,  9, 13, 14, 12, 16, 13, 17, 14, 19, 16,
        20, 17, 22, 24, 23, 24], dtype=int64)                              ]",1.620803,CaveCrawler-v0,Genetic Algorithm
ae878cc8-a4a0-41ea-a33e-9a05f04f6657,"[array([1, 1, 1, 4, 0], dtype=int64) array([2, 2, 3, 4, 1], dtype=int64)
 array([2, 0, 0, 2, 0], dtype=int64) array([2, 0, 2, 4, 1], dtype=int64)
 array([0, 0, 3, 3, 0], dtype=int64)]","[array([ 0,  0,  1,  1,  2,  2,  3,  5,  5,  6,  7,  8,  8, 10, 13, 17, 17,
        18, 18, 22], dtype=int64)
 array([ 1,  5,  2,  6,  3,  7,  8,  6, 10,  7,  8,  9, 13, 15, 18, 18, 22,
        19, 23, 23], dtype=int64)                                          ]",1.496633,PlatformJumper-v0,Genetic Algorithm
efcec206-d619-48e9-b963-f6b00b7a3985,"[array([0, 4, 0, 3, 0], dtype=int64) array([0, 1, 0, 3, 2], dtype=int64)
 array([2, 1, 1, 2, 0], dtype=int64) array([4, 0, 4, 3, 3], dtype=int64)
 array([2, 0, 0, 0, 3], dtype=int64)]","[array([ 1,  3,  6,  8,  8, 10, 10, 11, 12, 12, 13, 15, 17, 18, 19],
       dtype=int64)
 array([ 6,  8, 11,  9, 13, 11, 15, 12, 13, 17, 18, 20, 18, 19, 24],
       dtype=int64)                                                 ]",0.325433,AreaMaximizer-v0,Genetic Algorithm
de7f456d-3538-4459-8e73-a5f585c20a74,"[array([4, 3, 3, 4, 1], dtype=int64) array([0, 2, 0, 2, 2], dtype=int64)
 array([1, 2, 0, 4, 3], dtype=int64) array([0, 0, 1, 4, 0], dtype=int64)
 array([0, 0, 0, 0, 0], dtype=int64)]","[array([ 0,  1,  1,  2,  3,  3,  4,  6,  8,  8,  9, 10, 13, 13, 17],
       dtype=int64)
 array([ 1,  2,  6,  3,  4,  8,  9, 11,  9, 13, 14, 11, 14, 18, 18],
       dtype=int64)                                                 ]",0.187775,WingspanMazimizer-v0,Genetic Algorithm
17a5cd19-db3d-4ff7-a3bc-1480194bd877,"[array([3, 0, 1, 0, 0], dtype=int64) array([1, 3, 1, 0, 1], dtype=int64)
 array([0, 0, 1, 2, 4], dtype=int64) array([3, 2, 3, 0, 0], dtype=int64)
 array([0, 0, 3, 0, 0], dtype=int64)]","[array([ 0,  2,  5,  6,  7,  9, 12, 12, 13, 15, 16, 17], dtype=int64)
 array([ 5,  7,  6,  7, 12, 14, 13, 17, 14, 16, 17, 22], dtype=int64)]",0.066797,HeightMaximizer-v0,Genetic Algorithm
08f89945-36ae-4970-8030-aff2d1d73a7f,"[array([0, 1, 2, 2, 2], dtype=int64) array([2, 1, 1, 0, 2], dtype=int64)
 array([2, 0, 4, 1, 0], dtype=int64) array([1, 2, 3, 1, 2], dtype=int64)
 array([0, 0, 4, 3, 1], dtype=int64)]","[array([ 1,  1,  2,  2,  3,  4,  5,  5,  6,  7, 10, 12, 12, 13, 15, 16, 17,
        17, 18, 18, 19, 22, 23], dtype=int64)
 array([ 2,  6,  3,  7,  4,  9,  6, 10,  7, 12, 15, 13, 17, 18, 16, 17, 18,
        22, 19, 23, 24, 23, 24], dtype=int64)                              ]",0.238444,AreaMinimizer-v0,Genetic Algorithm
c8ba9d43-1370-4b88-884c-ab173e6be47a,"[array([0, 0, 0, 0, 0], dtype=int64) array([2, 1, 4, 3, 0], dtype=int64)
 array([0, 1, 0, 2, 0], dtype=int64) array([0, 2, 0, 1, 1], dtype=int64)
 array([0, 1, 0, 0, 4], dtype=int64)]","[array([ 5,  6,  6,  7,  8, 11, 13, 16, 18, 19], dtype=int64)
 array([ 6,  7, 11,  8, 13, 16, 18, 21, 19, 24], dtype=int64)]",0.025323,Pusher-v1,Genetic Algorithm
8c0cbe04-5a75-41dd-ab22-399a3274936a,"[array([0, 4, 3, 0, 0], dtype=int64) array([1, 3, 0, 0, 0], dtype=int64)
 array([0, 4, 0, 0, 0], dtype=int64) array([3, 1, 3, 2, 3], dtype=int64)
 array([3, 0, 3, 0, 0], dtype=int64)]","[array([ 1,  1,  5,  6, 11, 15, 15, 16, 17, 17, 18], dtype=int64)
 array([ 2,  6,  6, 11, 16, 16, 20, 17, 18, 22, 19], dtype=int64)]",4.69129,Pusher-v0,Genetic Algorithm
d8cf5b85-70ee-4a96-b3a1-65241df47bde,"[array([2, 1, 4, 3, 3], dtype=int64) array([1, 3, 0, 3, 4], dtype=int64)
 array([0, 0, 3, 3, 2], dtype=int64) array([2, 2, 0, 1, 0], dtype=int64)
 array([3, 2, 4, 1, 1], dtype=int64)]","[array([ 0,  0,  1,  1,  2,  3,  3,  4,  5,  8,  8,  9, 12, 13, 13, 15, 15,
        16, 18, 20, 21, 22, 23], dtype=int64)
 array([ 1,  5,  2,  6,  3,  4,  8,  9,  6,  9, 13, 14, 13, 14, 18, 16, 20,
        21, 23, 21, 22, 23, 24], dtype=int64)                              ]",2.44845,BeamToppler-v0,Genetic Algorithm
fee22f65-a0da-45ff-b3cc-869c93671fcb,"[array([4, 1, 1, 0, 2], dtype=int64) array([0, 2, 2, 4, 2], dtype=int64)
 array([0, 1, 4, 1, 4], dtype=int64) array([3, 3, 0, 4, 0], dtype=int64)
 array([0, 2, 3, 1, 1], dtype=int64)]","[array([ 0,  1,  1,  2,  4,  6,  6,  7,  7,  8,  8,  9, 11, 11, 12, 13, 13,
        15, 16, 18, 21, 22, 23], dtype=int64)
 array([ 1,  2,  6,  7,  9,  7, 11,  8, 12,  9, 13, 14, 12, 16, 13, 14, 18,
        16, 21, 23, 22, 23, 24], dtype=int64)                              ]",0.494022,Hurdler-v0,Genetic Algorithm
b9df8633-8f04-4fef-8d9d-a9c2465a90c6,"[array([4, 2, 1, 4, 4], dtype=int64) array([0, 2, 0, 0, 0], dtype=int64)
 array([3, 2, 2, 4, 4], dtype=int64) array([0, 1, 0, 4, 2], dtype=int64)
 array([0, 4, 0, 3, 0], dtype=int64)]","[array([ 0,  1,  1,  2,  3,  6, 10, 11, 11, 12, 13, 13, 14, 16, 18, 18],
       dtype=int64)
 array([ 1,  2,  6,  3,  4, 11, 11, 12, 16, 13, 14, 18, 19, 21, 19, 23],
       dtype=int64)                                                     ]",1.041342,ObstacleTraverser-v1,Genetic Algorithm
